city,country,temp,temp_max,temp_min
Laon,FR,5.68,5.68,5.68
city,country,temp,temp_max,temp_min
La Crau,FR,6.67,8.57,3.22
city,country,temp,temp_max,temp_min
La Courneuve,FR,5.33,6.11,4.2
city,country,temp,temp_max,temp_min
Gentilly,FR,4.92,5.82,3.91
city,country,temp,temp_max,temp_min
Garches,FR,4.31,5.3,3.39
city,country,temp,temp_max,temp_min
Croix,FR,6.37,6.83,5.58
city,country,temp,temp_max,temp_min
Couëron,FR,4.1,4.49,1.42
city,country,temp,temp_max,temp_min
Cernay,FR,-0.54,0.26,-1.54
city,country,temp,temp_max,temp_min
Montussan,FR,0.07,4.15,-0.09
city,country,temp,temp_max,temp_min
Saint-Laurent,FR,3.75,4.92,3.69
city,country,temp,temp_max,temp_min
Saint-Bris-le-Vineux,FR,2.85,3.64,2.85
city,country,temp,temp_max,temp_min
Garanou,FR,0.67,4.85,-3.87
city,country,temp,temp_max,temp_min
Provence-Alpes-Côte d'Azur Region,FR,0.32,1.48,0.32
city,country,temp,temp_max,temp_min
Var,FR,2.86,7.35,1.5
city,country,temp,temp_max,temp_min
Arrondissement de Narbonne,FR,4.07,5.01,0.98
city,country,temp,temp_max,temp_min
Carbonne,FR,3.62,5.99,2.4
city,country,temp,temp_max,temp_min
Carbonne,FR,3.55,5.91,2.32
city,country,temp,temp_max,temp_min
Arrondissement de Marseille,FR,1.81,6.58,-2.25
city,country,temp,temp_max,temp_min
Saint-Pierre,FR,0.18,7.88,-2.07
city,country,temp,temp_max,temp_min
Ilharre,FR,5.74,10,2.73
city,country,temp,temp_max,temp_min
Les Mées,FR,2.41,2.41,2.41
city,country,temp,temp_max,temp_min
Castelsarrasin,FR,5.99,8.02,-1.09
city,country,temp,temp_max,temp_min
Vallabrix,FR,-0.5,1.09,-2.8
city,country,temp,temp_max,temp_min
Lussolle,FR,1.23,3.56,-1.45
city,country,temp,temp_max,temp_min
Pontenx-les-Forges,FR,1.12,8.82,-0.86
city,country,temp,temp_max,temp_min
Pontenx-les-Forges,FR,1.27,8.89,-0.79
